date,hour,forecast_load_mw
2024-05-04,1,21648
2024-05-04,2,21122
2024-05-04,3,20873
2024-05-04,4,20883
2024-05-04,5,21465
2024-05-04,6,22434
2024-05-04,7,23417
2024-05-04,8,24102
2024-05-04,9,24667
2024-05-04,10,24888
2024-05-04,11,24825
2024-05-04,12,24608
2024-05-04,13,24390
2024-05-04,14,24261
2024-05-04,15,24306
2024-05-04,16,24768
2024-05-04,17,25391
2024-05-04,18,25962
2024-05-04,19,26316
2024-05-04,20,26484
2024-05-04,21,25804
2024-05-04,22,24580
2024-05-04,23,23249
2024-05-05,0,21947
2024-05-05,1,21173
2024-05-05,2,20646
2024-05-05,3,20426
2024-05-05,4,20466
2024-05-05,5,20853
2024-05-05,6,21468
2024-05-05,7,22175
2024-05-05,8,23132
2024-05-05,9,23809
2024-05-05,10,24375
2024-05-05,11,24568
2024-05-05,12,24600
2024-05-05,13,24552
2024-05-05,14,24530
2024-05-05,15,24547
2024-05-05,16,24993
2024-05-05,17,25551
2024-05-05,18,26277
2024-05-05,19,26852
2024-05-05,20,26989
2024-05-05,21,26093
2024-05-05,22,24475
2024-05-05,23,22970
2024-05-06,0,21699
2024-05-06,1,20901
2024-05-06,2,20475
2024-05-06,3,20376
2024-05-06,4,20920
2024-05-06,5,22263
2024-05-06,6,24386
2024-05-06,7,26075
2024-05-06,8,26668
2024-05-06,9,26674
2024-05-06,10,26862
2024-05-06,11,26809
2024-05-06,12,27004
2024-05-06,13,27239
2024-05-06,14,27526
2024-05-06,15,27937
2024-05-06,16,28778
2024-05-06,17,29516
2024-05-06,18,30244
2024-05-06,19,30348
2024-05-06,20,30172
2024-05-06,21,28736
2024-05-06,22,26739
2024-05-06,23,24663
2024-05-07,0,23640
2024-05-07,1,22563
2024-05-07,2,21946
2024-05-07,3,21665
2024-05-07,4,22133
2024-05-07,5,23413
2024-05-07,6,25753
2024-05-07,7,27404
2024-05-07,8,27988
2024-05-07,9,28039
2024-05-07,10,28215
2024-05-07,11,28385
2024-05-07,12,28828
2024-05-07,13,29412
2024-05-07,14,30229
2024-05-07,15,31026
2024-05-07,16,31998
2024-05-07,17,32851
2024-05-07,18,33003
2024-05-07,19,32687
2024-05-07,20,32100
2024-05-07,21,30541
2024-05-07,22,28180
2024-05-07,23,26057
2024-05-08,0,25113
2024-05-08,1,23955
2024-05-08,2,23241
2024-05-08,3,22886
2024-05-08,4,23064
2024-05-08,5,24302
2024-05-08,6,26441
2024-05-08,7,28133
2024-05-08,8,29133
2024-05-08,9,29809
2024-05-08,10,30536
2024-05-08,11,31443
2024-05-08,12,32508
2024-05-08,13,33828
2024-05-08,14,34977
2024-05-08,15,36172
2024-05-08,16,37467
2024-05-08,17,38196
2024-05-08,18,38076
2024-05-08,19,37421
2024-05-08,20,36220
2024-05-08,21,34419
2024-05-08,22,31726
2024-05-08,23,29134
2024-05-09,0,26803
2024-05-09,1,25465
2024-05-09,2,24556
2024-05-09,3,24083
2024-05-09,4,24043
2024-05-09,5,25230
2024-05-09,6,27499
2024-05-09,7,28860
2024-05-09,8,29287
2024-05-09,9,29493
2024-05-09,10,29503
2024-05-09,11,29648
2024-05-09,12,29816
2024-05-09,13,30006
2024-05-09,14,29969
2024-05-09,15,30069
2024-05-09,16,30294
2024-05-09,17,30527
2024-05-09,18,30477
2024-05-09,19,30302
2024-05-09,20,29982
2024-05-09,21,28681
2024-05-09,22,26816
2024-05-09,23,24963
2024-05-10,0,22981
2024-05-10,1,22055
2024-05-10,2,21550
2024-05-10,3,21374
2024-05-10,4,21668
2024-05-10,5,22957
2024-05-10,6,24995
2024-05-10,7,26421
2024-05-10,8,27021
2024-05-10,9,27364
2024-05-10,10,27543
2024-05-10,11,27497
2024-05-10,12,27406
2024-05-10,13,27300
2024-05-10,14,27138
2024-05-10,15,27168
2024-05-10,16,27538
2024-05-10,17,27868
2024-05-10,18,27970
2024-05-10,19,27970
2024-05-10,20,28115
2024-05-10,21,27192
2024-05-10,22,25738
2024-05-10,23,24165
2024-05-11,0,23084
2024-05-11,1,22251
2024-05-11,2,21756
2024-05-11,3,21508
2024-05-11,4,21624
2024-05-11,5,22168
2024-05-11,6,22997
2024-05-11,7,23774
2024-05-11,8,24087
2024-05-11,9,24067
2024-05-11,10,23731
2024-05-11,11,23461
2024-05-11,12,23207
2024-05-11,13,23056
2024-05-11,14,22991
2024-05-11,15,23261
2024-05-11,16,23793
2024-05-11,17,24586
2024-05-11,18,25074
2024-05-11,19,25488
2024-05-11,20,25920
2024-05-11,21,25390
2024-05-11,22,24197
2024-05-11,23,22921
2024-05-12,0,21674
2024-05-12,1,20921
2024-05-12,2,20441
2024-05-12,3,20285
2024-05-12,4,20327
2024-05-12,5,20748
2024-05-12,6,21240
2024-05-12,7,21890
2024-05-12,8,22724
2024-05-12,9,23295
2024-05-12,10,23698
2024-05-12,11,23828
2024-05-12,12,23813
2024-05-12,13,23725
2024-05-12,14,23686
2024-05-12,15,23841
2024-05-12,16,24259
2024-05-12,17,24895
2024-05-12,18,25513
2024-05-12,19,26093
2024-05-12,20,26747
2024-05-12,21,26085
2024-05-12,22,24666
2024-05-12,23,23186
2024-05-13,0,22090
2024-05-13,1,21408
2024-05-13,2,21096
2024-05-13,3,21054
2024-05-13,4,21550
2024-05-13,5,22933
2024-05-13,6,25046
2024-05-13,7,26585
2024-05-13,8,26544
2024-05-13,9,25816
2024-05-13,10,25388
2024-05-13,11,24976
2024-05-13,12,24788
2024-05-13,13,24762
2024-05-13,14,24864
2024-05-13,15,25228
2024-05-13,16,26142
2024-05-13,17,27017
2024-05-13,18,27529
2024-05-13,19,27942
2024-05-13,20,28447
2024-05-13,21,27440
2024-05-13,22,25616
2024-05-13,23,23688
2024-05-14,0,22339
2024-05-14,1,21456
2024-05-14,2,20937
2024-05-14,3,20722
2024-05-14,4,21178
2024-05-14,5,22378
2024-05-14,6,24543
2024-05-14,7,26120
2024-05-14,8,26602
2024-05-14,9,26531
2024-05-14,10,26592
2024-05-14,11,26673
2024-05-14,12,26893
2024-05-14,13,27146
2024-05-14,14,27374
2024-05-14,15,27710
2024-05-14,16,28386
2024-05-14,17,28963
2024-05-14,18,29164
2024-05-14,19,29167
2024-05-14,20,29199
2024-05-14,21,28090
2024-05-14,22,26065
2024-05-14,23,24119
2024-05-15,0,22706
2024-05-15,1,21752
2024-05-15,2,21189
2024-05-15,3,20930
2024-05-15,4,21304
2024-05-15,5,22542
2024-05-15,6,24633
2024-05-15,7,26369
2024-05-15,8,27221
2024-05-15,9,27461
2024-05-15,10,27736
2024-05-15,11,27819
2024-05-15,12,27852
2024-05-15,13,27884
2024-05-15,14,27850
2024-05-15,15,27974
2024-05-15,16,28330
2024-05-15,17,28730
2024-05-15,18,28870
2024-05-15,19,28853
2024-05-15,20,28825
2024-05-15,21,27726
2024-05-15,22,25812
2024-05-15,23,23976
2024-05-16,0,22713
2024-05-16,1,21795
2024-05-16,2,21267
2024-05-16,3,21053
2024-05-16,4,21460
2024-05-16,5,22758
2024-05-16,6,24833
2024-05-16,7,26295
2024-05-16,8,26838
2024-05-16,9,26951
2024-05-16,10,27152
2024-05-16,11,27294
2024-05-16,12,27333
2024-05-16,13,27537
2024-05-16,14,27641
2024-05-16,15,27896
2024-05-16,16,28497
2024-05-16,17,29042
2024-05-16,18,29210
2024-05-16,19,29121
2024-05-16,20,29095
2024-05-16,21,28061
2024-05-16,22,26166
2024-05-16,23,24289
2024-05-17,0,23325
2024-05-17,1,22301
2024-05-17,2,21673
2024-05-17,3,21414
2024-05-17,4,21685
2024-05-17,5,22884
2024-05-17,6,24821
2024-05-17,7,26307
2024-05-17,8,27092
2024-05-17,9,27377
2024-05-17,10,27541
2024-05-17,11,27626
2024-05-17,12,27704
2024-05-17,13,27838
2024-05-17,14,28002
2024-05-17,15,28188
2024-05-17,16,28553
2024-05-17,17,28801
2024-05-17,18,28792
2024-05-17,19,28651
2024-05-17,20,28523
2024-05-17,21,27655
2024-05-17,22,26014
2024-05-17,23,24257
2024-05-18,0,22662
2024-05-18,1,21630
2024-05-18,2,20933
2024-05-18,3,20558
2024-05-18,4,20576
2024-05-18,5,21016
2024-05-18,6,21729
2024-05-18,7,22678
2024-05-18,8,23686
2024-05-18,9,24339
2024-05-18,10,24723
2024-05-18,11,24779
2024-05-18,12,24699
2024-05-18,13,24638
2024-05-18,14,24570
2024-05-18,15,24688
2024-05-18,16,25194
2024-05-18,17,25629
2024-05-18,18,26008
2024-05-18,19,26092
2024-05-18,20,26359
2024-05-18,21,25719
2024-05-18,22,24460
2024-05-18,23,22949
2024-05-19,0,21849
2024-05-19,1,20995
2024-05-19,2,20369
2024-05-19,3,19995
2024-05-19,4,20038
2024-05-19,5,20285
2024-05-19,6,20791
2024-05-19,7,21559
2024-05-19,8,22452
2024-05-19,9,23110
2024-05-19,10,23560
2024-05-19,11,23872
2024-05-19,12,24093
2024-05-19,13,24287
2024-05-19,14,24505
2024-05-19,15,24967
2024-05-19,16,25904
2024-05-19,17,26696
2024-05-19,18,27261
2024-05-19,19,27608
2024-05-19,20,27785
2024-05-19,21,26897
2024-05-19,22,25218
2024-05-19,23,23439
2024-05-20,0,22762
2024-05-20,1,21729
2024-05-20,2,21113
2024-05-20,3,20870
2024-05-20,4,21225
2024-05-20,5,22393
2024-05-20,6,24348
2024-05-20,7,25875
2024-05-20,8,26489
2024-05-20,9,26642
2024-05-20,10,26915
2024-05-20,11,27178
2024-05-20,12,27506
2024-05-20,13,28051
2024-05-20,14,28635
2024-05-20,15,29362
2024-05-20,16,30605
2024-05-20,17,31405
2024-05-20,18,31488
2024-05-20,19,31137
2024-05-20,20,30752
2024-05-20,21,29429
2024-05-20,22,27208
2024-05-20,23,24942
2024-05-21,0,24030
2024-05-21,1,22873
2024-05-21,2,22182
2024-05-21,3,21809
2024-05-21,4,22152
2024-05-21,5,23357
2024-05-21,6,25476
2024-05-21,7,27030
2024-05-21,8,27735
2024-05-21,9,28092
2024-05-21,10,28677
2024-05-21,11,29358
2024-05-21,12,30202
2024-05-21,13,31269
2024-05-21,14,32394
2024-05-21,15,33629
2024-05-21,16,35173
2024-05-21,17,36063
2024-05-21,18,35806
2024-05-21,19,35233
2024-05-21,20,34435
2024-05-21,21,32590
2024-05-21,22,30099
2024-05-21,23,27607
2024-05-22,0,26082
2024-05-22,1,24681
2024-05-22,2,23749
2024-05-22,3,23259
2024-05-22,4,23434
2024-05-22,5,24585
2024-05-22,6,26726
2024-05-22,7,28436
2024-05-22,8,29521
2024-05-22,9,30438
2024-05-22,10,31542
2024-05-22,11,32996
2024-05-22,12,34624
2024-05-22,13,36457
2024-05-22,14,38318
2024-05-22,15,40102
2024-05-22,16,41754
2024-05-22,17,42540
2024-05-22,18,42106
2024-05-22,19,40828
2024-05-22,20,39226
2024-05-22,21,36921
2024-05-22,22,33952
2024-05-22,23,30974
2024-05-23,0,28834
2024-05-23,1,27302
2024-05-23,2,26255
2024-05-23,3,25720
2024-05-23,4,25764
2024-05-23,5,26997
2024-05-23,6,29198
2024-05-23,7,30878
2024-05-23,8,32095
2024-05-23,9,33257
2024-05-23,10,34080
2024-05-23,11,35044
2024-05-23,12,36016
2024-05-23,13,36975
2024-05-23,14,37770
2024-05-23,15,38375
2024-05-23,16,38817
2024-05-23,17,39036
2024-05-23,18,38560
2024-05-23,19,37709
2024-05-23,20,36580
2024-05-23,21,34901
2024-05-23,22,32284
2024-05-23,23,29794
2024-05-24,0,28073
2024-05-24,1,26601
2024-05-24,2,25613
2024-05-24,3,25032
2024-05-24,4,24970
2024-05-24,5,26060
2024-05-24,6,28107
2024-05-24,7,29631
2024-05-24,8,30605
2024-05-24,9,31489
2024-05-24,10,32565
2024-05-24,11,33707
2024-05-24,12,34906
2024-05-24,13,36155
2024-05-24,14,37440
2024-05-24,15,38600
2024-05-24,16,39444
2024-05-24,17,39781
2024-05-24,18,38931
2024-05-24,19,37857
2024-05-24,20,36635
2024-05-24,21,34853
2024-05-24,22,32413
2024-05-24,23,29936
2024-05-25,0,27285
2024-05-25,1,25766
2024-05-25,2,24589
2024-05-25,3,23818
2024-05-25,4,23389
2024-05-25,5,23610
2024-05-25,6,24240
2024-05-25,7,25400
2024-05-25,8,26753
2024-05-25,9,28293
2024-05-25,10,29740
2024-05-25,11,31140
2024-05-25,12,32495
2024-05-25,13,33894
2024-05-25,14,35214
2024-05-25,15,36554
2024-05-25,16,37768
2024-05-25,17,38429
2024-05-25,18,37528
2024-05-25,19,36315
2024-05-25,20,35286
2024-05-25,21,33509
2024-05-25,22,31228
2024-05-25,23,28864
2024-05-26,0,27120
2024-05-26,1,25627
2024-05-26,2,24527
2024-05-26,3,23741
2024-05-26,4,23394
2024-05-26,5,23408
2024-05-26,6,23806
2024-05-26,7,24630
2024-05-26,8,26083
2024-05-26,9,27694
2024-05-26,10,29242
2024-05-26,11,30826
2024-05-26,12,32419
2024-05-26,13,33742
2024-05-26,14,35206
2024-05-26,15,36623
2024-05-26,16,37870
2024-05-26,17,38586
2024-05-26,18,38196
2024-05-26,19,37160
2024-05-26,20,35967
2024-05-26,21,34312
2024-05-26,22,32257
2024-05-26,23,29825
2024-05-27,0,27553
2024-05-27,1,26022
2024-05-27,2,24891
2024-05-27,3,24088
2024-05-27,4,23860
2024-05-27,5,23786
2024-05-27,6,24200
2024-05-27,7,24943
2024-05-27,8,26197
2024-05-27,9,27478
2024-05-27,10,28742
2024-05-27,11,29568
2024-05-27,12,30263
2024-05-27,13,30892
2024-05-27,14,31478
2024-05-27,15,32362
2024-05-27,16,33169
2024-05-27,17,33795
2024-05-27,18,33816
2024-05-27,19,33578
2024-05-27,20,33095
2024-05-27,21,31841
2024-05-27,22,29680
2024-05-27,23,27504
2024-05-28,0,25654
2024-05-28,1,24385
2024-05-28,2,23647
2024-05-28,3,23263
2024-05-28,4,23459
2024-05-28,5,24584
2024-05-28,6,26892
2024-05-28,7,28426
2024-05-28,8,29366
2024-05-28,9,29936
2024-05-28,10,30578
2024-05-28,11,31216
2024-05-28,12,31835
2024-05-28,13,32684
2024-05-28,14,33489
2024-05-28,15,34357
2024-05-28,16,35343
2024-05-28,17,35928
2024-05-28,18,35509
2024-05-28,19,34571
2024-05-28,20,33772
2024-05-28,21,32459
2024-05-28,22,30233
2024-05-28,23,27667
2024-05-29,0,25378
2024-05-29,1,24051
2024-05-29,2,23179
2024-05-29,3,22768
2024-05-29,4,23018
2024-05-29,5,24186
2024-05-29,6,26410
2024-05-29,7,27920
2024-05-29,8,28498
2024-05-29,9,28885
2024-05-29,10,29257
2024-05-29,11,29804
2024-05-29,12,30341
2024-05-29,13,30934
2024-05-29,14,31560
2024-05-29,15,32289
2024-05-29,16,33166
2024-05-29,17,33650
2024-05-29,18,33289
2024-05-29,19,32704
2024-05-29,20,31840
2024-05-29,21,30626
2024-05-29,22,28375
2024-05-29,23,25937
2024-05-30,0,23960
2024-05-30,1,22852
2024-05-30,2,22123
2024-05-30,3,21805
2024-05-30,4,22154
2024-05-30,5,23486
2024-05-30,6,25426
2024-05-30,7,26951
2024-05-30,8,27461
2024-05-30,9,27601
2024-05-30,10,27679
2024-05-30,11,27904
2024-05-30,12,28137
2024-05-30,13,28547
2024-05-30,14,28851
2024-05-30,15,29396
2024-05-30,16,30246
2024-05-30,17,30895
2024-05-30,18,30995
2024-05-30,19,30592
2024-05-30,20,30144
2024-05-30,21,29089
2024-05-30,22,27085
2024-05-30,23,25006
2024-05-31,0,23206
2024-05-31,1,22129
2024-05-31,2,21450
2024-05-31,3,21160
2024-05-31,4,21446
2024-05-31,5,22518
2024-05-31,6,24320
2024-05-31,7,25796
2024-05-31,8,26393
2024-05-31,9,26582
2024-05-31,10,26772
2024-05-31,11,26944
2024-05-31,12,27129
2024-05-31,13,27496
2024-05-31,14,27844
2024-05-31,15,28478
2024-05-31,16,29394
2024-05-31,17,29924
2024-05-31,18,29841
2024-05-31,19,29357
2024-05-31,20,28976
2024-05-31,21,28184
2024-05-31,22,26458
2024-05-31,23,24516
2024-06-01,0,22844
2024-06-01,1,21724
2024-06-01,2,20996
2024-06-01,3,20557
2024-06-01,4,20484
2024-06-01,5,20752
2024-06-01,6,21279
2024-06-01,7,22146
2024-06-01,8,23186
2024-06-01,9,24082
2024-06-01,10,24855
2024-06-01,11,25576
2024-06-01,12,26251
2024-06-01,13,27004
2024-06-01,14,28080
2024-06-01,15,29338
2024-06-01,16,30712
2024-06-01,17,31715
2024-06-01,18,31624
2024-06-01,19,31024
2024-06-01,20,30338
2024-06-01,21,29476
2024-06-01,22,27622
2024-06-01,23,25620
2024-06-02,0,23942
2024-06-02,1,22679
2024-06-02,2,21820
2024-06-02,3,21228
2024-06-02,4,21043
2024-06-02,5,21084
2024-06-02,6,21376
2024-06-02,7,22204
2024-06-02,8,23423
2024-06-02,9,24610
2024-06-02,10,25738
2024-06-02,11,26901
2024-06-02,12,28001
2024-06-02,13,29034
2024-06-02,14,30091
2024-06-02,15,31349
2024-06-02,16,32690
2024-06-02,17,33818
2024-06-02,18,33998
2024-06-02,19,33316
2024-06-02,20,32359
2024-06-02,21,31237
2024-06-02,22,29223
2024-06-02,23,26983
2024-06-03,0,25602
2024-06-03,1,24253
2024-06-03,2,23468
2024-06-03,3,23066
2024-06-03,4,23476
2024-06-03,5,24609
2024-06-03,6,26582
2024-06-03,7,28508
2024-06-03,8,29786
2024-06-03,9,30686
2024-06-03,10,31959
2024-06-03,11,33060
2024-06-03,12,34189
2024-06-03,13,35416
2024-06-03,14,36507
2024-06-03,15,37642
2024-06-03,16,39039
2024-06-03,17,39623
2024-06-03,18,39141
2024-06-03,19,38083
2024-06-03,20,36680
2024-06-03,21,34931
2024-06-03,22,32465
2024-06-03,23,29623
2024-06-04,0,28803
2024-06-04,1,27107
2024-06-04,2,25981
2024-06-04,3,25377
2024-06-04,4,25421
2024-06-04,5,26470
2024-06-04,6,28431
2024-06-04,7,30430
2024-06-04,8,31753
2024-06-04,9,32579
2024-06-04,10,33892
2024-06-04,11,35528
2024-06-04,12,36824
2024-06-04,13,38269
2024-06-04,14,39715
2024-06-04,15,40914
2024-06-04,16,41973
2024-06-04,17,42117
2024-06-04,18,41549
2024-06-04,19,39915
2024-06-04,20,38165
2024-06-04,21,36012
2024-06-04,22,33396
2024-06-04,23,30657
2024-06-05,0,28508
2024-06-05,1,27067
2024-06-05,2,25851
2024-06-05,3,25234
2024-06-05,4,25396
2024-06-05,5,26444
2024-06-05,6,28571
2024-06-05,7,30336
2024-06-05,8,31520
2024-06-05,9,32379
2024-06-05,10,33426
2024-06-05,11,34658
2024-06-05,12,35805
2024-06-05,13,37165
2024-06-05,14,38189
2024-06-05,15,39147
2024-06-05,16,39960
2024-06-05,17,40109
2024-06-05,18,39496
2024-06-05,19,38386
2024-06-05,20,37201
2024-06-05,21,35439
2024-06-05,22,32811
2024-06-05,23,30052
2024-06-06,0,29084
2024-06-06,1,27629
2024-06-06,2,26637
2024-06-06,3,26178
2024-06-06,4,26519
2024-06-06,5,27805
2024-06-06,6,30127
2024-06-06,7,32054
2024-06-06,8,33477
2024-06-06,9,34381
2024-06-06,10,35532
2024-06-06,11,36550
2024-06-06,12,37641
2024-06-06,13,38672
2024-06-06,14,39723
2024-06-06,15,40718
2024-06-06,16,41790
2024-06-06,17,42256
2024-06-06,18,41446
2024-06-06,19,39985
2024-06-06,20,38569
2024-06-06,21,36989
2024-06-06,22,34672
2024-06-06,23,31796
2024-06-07,0,29353
2024-06-07,1,27658
2024-06-07,2,26571
2024-06-07,3,25945
2024-06-07,4,25936
2024-06-07,5,26846
